,50/50,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Interception,Miscontrol,Own Goal Against,Own Goal For,Pass,Pressure,Shield,Shot
50/50,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ball Receipt*,0.0,0.0,0.012850929221035983,0.008105970739422697,0.7748121787267694,0.0071174377224199285,0.0,0.0,0.0,0.012060102807433769,0.0,0.002372479240806643,0.0,0.0011862396204033216,0.018979833926453145,0.0021747726374060894,0.0,0.0,0.15025701858442073,0.004349545274812179,0.0,0.005733491498616054
Ball Recovery,0.0,0.0,0.02097902097902098,0.002331002331002331,0.8554778554778555,0.0,0.0,0.0,0.0,0.004662004662004662,0.0,0.002331002331002331,0.0,0.0,0.0,0.0,0.0,0.0,0.0675990675990676,0.023310023310023312,0.0,0.023310023310023312
Block,0.0,0.0,0.20606060606060606,0.024242424242424242,0.0,0.04242424242424243,0.0,0.0,0.0,0.012121212121212121,0.0,0.012121212121212121,0.0,0.1393939393939394,0.0,0.012121212121212121,0.0,0.0,0.40606060606060607,0.14545454545454545,0.0,0.0
Carry,0.0,0.0,0.0,0.0013513513513513514,0.0,0.0006756756756756757,0.008108108108108109,0.00563063063063063,0.007432432432432433,0.0,0.0,0.010810810810810811,0.0,0.0,0.0006756756756756757,0.01644144144144144,0.0,0.0,0.7925675675675675,0.14324324324324325,0.0,0.013063063063063063
Clearance,0.0,0.0,0.3087248322147651,0.053691275167785234,0.0,0.053691275167785234,0.0,0.0,0.0,0.053691275167785234,0.0,0.013422818791946308,0.0,0.013422818791946308,0.0,0.020134228187919462,0.0,0.006711409395973154,0.3959731543624161,0.0738255033557047,0.006711409395973154,0.0
Dispossessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dribble,0.007751937984496124,0.0,0.023255813953488372,0.0,0.4418604651162791,0.007751937984496124,0.0,0.0,0.0,0.4573643410852713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031007751937984496,0.031007751937984496,0.0,0.0
Dribbled Past,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duel,0.003787878787878788,0.011363636363636364,0.1856060606060606,0.007575757575757576,0.12878787878787878,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.003787878787878788,0.0,0.003787878787878788,0.0,0.01893939393939394,0.0,0.0,0.45075757575757575,0.06439393939393939,0.0,0.03787878787878788
Error,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foul Committed,0.0,0.0,0.007692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9307692307692308,0.0,0.0,0.0,0.0,0.0,0.06153846153846154,0.0,0.0,0.0
Foul Won,0.0,0.0,0.008264462809917356,0.0,0.09917355371900827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7933884297520661,0.008264462809917356,0.0,0.09090909090909091
Goal Keeper,0.0,0.0,0.11486486486486487,0.0,0.04054054054054054,0.0472972972972973,0.0,0.0,0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7702702702702703,0.013513513513513514,0.0,0.0
Interception,0.0,0.0,0.22033898305084745,0.0,0.3813559322033898,0.00847457627118644,0.0,0.0,0.0,0.025423728813559324,0.0,0.01694915254237288,0.0,0.0,0.00847457627118644,0.01694915254237288,0.0,0.0,0.23728813559322035,0.07627118644067797,0.0,0.00847457627118644
Miscontrol,0.018018018018018018,0.0,0.3153153153153153,0.02702702702702703,0.0,0.02702702702702703,0.0,0.0,0.0,0.009009009009009009,0.0,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.36036036036036034,0.23423423423423423,0.0,0.0
Own Goal Against,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Own Goal For,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Pass,0.0,0.8577680525164114,0.01787016776075857,0.013311451495258935,0.0,0.009664478482859227,0.0,0.0,0.0,0.005470459518599562,0.00018234865061998541,0.0010940919037199124,0.0,0.001276440554339898,0.0032822757111597373,0.0,0.0,0.0,0.023705324580598104,0.0661925601750547,0.00018234865061998541,0.0
Pressure,0.0,0.29156223893065997,0.03341687552213868,0.003341687552213868,0.0,0.005847953216374269,0.04928989139515455,0.028404344193817876,0.030910609857978277,0.000835421888053467,0.0,0.04594820384294068,0.0,0.002506265664160401,0.0,0.012531328320802004,0.0,0.0,0.42355889724310775,0.059314954051796154,0.002506265664160401,0.010025062656641603
Shield,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
Shot,0.0,0.0,0.0,0.17557251908396945,0.0,0.007633587786259542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8091603053435115,0.0,0.0,0.0,0.0,0.0,0.007633587786259542,0.0,0.0
